iter	RMSE
0	75284.47804
1	71084.48337
2	67343.18424
3	64550.82702
4	61311.27339
5	58222.8865
6	55559.17188
7	52937.96044
8	50356.30155
9	48147.32605
10	46039.1992
11	44078.39609
12	42311.4324
13	40677.04829
14	39148.89877
15	37978.38065
16	36801.024
17	35495.64956
18	34415.81027
19	33427.63608
20	32504.59287
21	31601.77584
22	30796.27433
23	29969.69556
24	29217.6218
25	28523.79948
26	27840.91425
27	27309.27796
28	26883.53354
29	26419.92213
30	25868.17742
31	25412.92411
32	25014.4243
33	24533.14034
34	24091.20353
35	23951.86741
36	23645.19582
37	23526.93364
38	23174.15958
39	23098.8378
40	22781.64507
41	22580.88956
42	22490.24096
43	22189.93851
44	21996.12568
45	21684.12255
46	21366.28854
47	21070.77634
48	20853.4043
49	20640.79643
50	20438.9804
51	20248.37531
52	20136.35559
53	19933.03407
54	19732.51236
55	19592.00893
56	19545.66091
57	19403.06977
58	19308.13643
59	19154.59552
60	18947.12775
61	18902.47486
62	18770.93336
63	18625.65858
64	18465.33394
65	18417.80246
66	18336.50949
67	18233.19889
68	18129.95538
69	18001.33049
70	17863.02617
71	17756.53337
72	17712.53249
73	17600.56171
74	17465.28575
75	17402.16653
76	17293.25287
77	17266.21942
78	17248.71215
79	17165.10558
80	17044.26209
81	16985.23386
82	16830.06259
83	16732.81623
84	16682.35757
85	16594.71777
86	16510.05123
87	16423.01288
88	16305.24619
89	16278.32181
90	16181.84307
91	16066.73826
92	15997.14955
93	15929.95286
94	15822.33977
95	15758.91866
96	15681.56958
97	15627.44365
98	15593.54183
99	15531.12168
100	15454.92388
101	15372.57486
102	15354.95552
103	15286.94467
104	15221.41278
105	15169.0215
106	15124.06713
107	15041.36761
108	14964.02699
109	14944.0858
110	14881.05436
111	14821.53753
112	14727.03889
113	14584.47843
114	14483.43359
115	14412.46362
116	14332.88058
117	14292.96466
118	14243.02232
119	14232.43666
120	14114.03417
121	14052.8834
122	14021.30031
123	13938.95148
124	13873.68543
125	13851.09561
126	13781.92711
127	13697.49025
128	13610.84787
129	13552.68702
130	13453.46974
131	13432.64683
132	13367.05912
133	13347.13417
134	13278.42315
135	13226.37173
136	13188.13073
137	13111.50154
138	13048.09213
139	13006.77986
140	12980.68765
141	12943.96338
142	12893.63694
143	12871.13269
144	12861.19446
145	12856.88044
146	12836.10442
147	12761.38587
148	12753.12755
149	12742.59871
150	12648.59252
151	12555.51866
152	12549.72045
153	12544.04599
154	12537.59236
155	12495.43638
156	12448.45195
157	12396.95766
158	12336.61372
159	12323.59298
160	12290.48153
161	12285.5667
162	12246.23014
163	12227.11025
164	12222.64344
165	12178.63425
166	12128.77372
167	12088.71285
168	12060.53864
169	11996.30489
170	11983.49398
171	11925.26896
172	11900.55067
173	11826.5161
174	11815.70646
175	11780.43231
176	11742.44098
177	11701.19937
178	11617.94624
179	11612.38069
180	11607.80854
181	11532.2721
182	11524.03395
183	11505.82251
184	11482.87011
185	11446.85708
186	11425.91428
187	11390.71784
188	11365.24409
189	11288.80341
190	11198.47015
191	11124.3339
192	11076.60969
193	11021.00552
194	10966.82014
195	10910.31791
196	10837.9639
197	10805.46049
198	10749.86527
199	10697.99511
200	10674.16234
201	10626.31857
202	10597.42652
203	10591.74162
204	10562.47574
205	10491.76879
206	10468.65953
207	10431.311
208	10387.99998
209	10322.80607
210	10292.19835
211	10252.74718
212	10177.24205
213	10166.58894
214	10104.0771
215	10091.52598
216	10045.27056
217	10013.4323
218	9972.854923
219	9942.059807
220	9938.215323
221	9875.073327
222	9843.750754
223	9812.543032
224	9763.648609
225	9717.431331
226	9711.724739
227	9686.361492
228	9642.835502
229	9587.320562
230	9580.7454
231	9544.738518
232	9530.294984
233	9517.662723
234	9480.438103
235	9472.464466
236	9444.491802
237	9430.397378
238	9425.742584
239	9423.157793
240	9395.285321
241	9388.596561
242	9348.172197
243	9339.840711
244	9328.25629
245	9303.206772
246	9247.203127
247	9242.237824
248	9238.704849
249	9230.918749
250	9193.525651
251	9174.781049
252	9134.681532
253	9101.38538
254	9098.299813
255	9084.148235
256	9080.484182
257	9068.346142
258	9051.091655
259	9030.147738
260	9027.328612
261	8998.345289
262	8993.210233
263	8990.641441
264	8969.899481
265	8965.925694
266	8929.07806
267	8910.023994
268	8878.594938
269	8862.506276
270	8840.368385
271	8822.314764
272	8787.325286
273	8762.554408
274	8726.311247
275	8688.294836
276	8645.12583
277	8640.804671
278	8618.855564
279	8583.557209
280	8549.184135
281	8537.725351
282	8518.532512
283	8490.3532
284	8462.36457
285	8455.163515
286	8427.986802
287	8406.62323
288	8378.932298
289	8321.486346
290	8290.429163
291	8275.449175
292	8273.725529
293	8239.388846
294	8205.141898
295	8199.507542
296	8156.140762
297	8138.4479
298	8102.582973
299	8081.823638
300	8074.731113
301	8045.713308
302	7984.009397
303	7982.395087
304	7940.431215
305	7886.383817
306	7836.451879
307	7808.288213
308	7782.051538
309	7772.363383
310	7749.469395
311	7727.055506
312	7695.052745
313	7669.209426
314	7663.853887
315	7655.435895
316	7636.039124
317	7630.321226
318	7618.203913
319	7594.814509
320	7564.33847
321	7537.69838
322	7517.349789
323	7511.522453
324	7463.626612
325	7434.57015
326	7426.694601
327	7414.556365
328	7398.264628
329	7388.117221
330	7383.389294
331	7367.277452
332	7325.517372
333	7324.190865
334	7284.116309
335	7265.552639
336	7233.281261
337	7224.757359
338	7188.168862
339	7169.453228
340	7167.255992
341	7165.206204
342	7145.59967
343	7110.970695
344	7088.206785
345	7072.749695
346	7040.683409
347	7021.821465
348	6991.887987
349	6950.067088
350	6948.510837
351	6936.131324
352	6928.450258
353	6922.617638
354	6898.01333
355	6867.71944
356	6861.739281
357	6843.802264
358	6814.256504
359	6796.287482
360	6764.049496
361	6732.41255
362	6695.32161
363	6673.503437
364	6653.737768
365	6612.835747
366	6596.826773
367	6570.167757
368	6552.381138
369	6545.733279
370	6518.743796
371	6511.658678
372	6496.591781
373	6484.46626
374	6476.557932
375	6458.643667
376	6457.790393
377	6438.549282
378	6430.609822
379	6409.890418
380	6403.667718
381	6375.607511
382	6348.307671
383	6335.231581
384	6317.045721
385	6314.588944
386	6309.721977
387	6296.30202
388	6272.558792
389	6249.543067
390	6235.229737
391	6221.067817
392	6205.550097
393	6175.230779
394	6152.848474
395	6134.824254
396	6128.389986
397	6119.301012
398	6110.133542
399	6091.928251
400	6071.267494
401	6047.582333
402	6030.393665
403	6001.17523
404	5980.565246
405	5970.322983
406	5949.212582
407	5940.356585
408	5935.46535
409	5922.413994
410	5904.639812
411	5891.841649
412	5874.949583
413	5863.883068
414	5839.747561
415	5822.538766
416	5809.496571
417	5802.081336
418	5793.585179
419	5772.37736
420	5748.17052
421	5740.870468
422	5726.726573
423	5715.104753
424	5713.39174
425	5701.41759
426	5691.996506
427	5682.546801
428	5668.186811
429	5661.577151
430	5640.587651
431	5628.591518
432	5609.840248
433	5586.927188
434	5570.149528
435	5540.662459
436	5538.57627
437	5509.958426
438	5503.685255
439	5474.142209
440	5467.460183
441	5465.048773
442	5463.319072
443	5451.158941
444	5433.015925
445	5430.389811
446	5429.100454
447	5411.457303
448	5387.710712
449	5373.10348
450	5349.461864
451	5348.718041
452	5328.162101
453	5327.269915
454	5323.378619
455	5322.319337
456	5316.968206
457	5304.024037
458	5293.532808
459	5286.074003
460	5267.201289
461	5236.118312
462	5216.585909
463	5196.482728
464	5182.897653
465	5176.294208
466	5165.776966
467	5160.561421
468	5144.361538
469	5127.09539
