iter	Passed	Remaining
0	189	88695
1	330	77220
2	466	72656
3	599	69802
4	724	67339
5	853	65985
6	1000	66157
7	1142	65986
8	1283	65732
9	1424	65534
10	1505	62835
11	1656	63229
12	1791	62967
13	1927	62791
14	2076	62984
15	2201	62475
16	2336	62270
17	2476	62194
18	2616	62108
19	2755	61997
20	2896	61923
21	3017	61450
22	3167	61562
23	3311	61546
24	3455	61500
25	3596	61417
26	3684	60455
27	3836	60554
28	3979	60519
29	4120	60437
30	4255	60269
31	4391	60103
32	4530	59996
33	4681	60029
34	4827	59999
35	4951	59691
36	5099	59679
37	5239	59562
38	5385	59517
39	5521	59356
40	5668	59306
41	5812	59227
42	5960	59184
43	6093	59000
44	6235	58890
45	6261	57711
46	6409	57688
47	6495	57105
48	6642	57073
49	6791	57051
50	6927	56913
51	7072	56849
52	7218	56791
53	7365	56740
54	7513	56695
55	7614	56294
56	7755	56194
57	7902	56136
58	8059	56143
59	8142	55643
60	8291	55590
61	8439	55535
62	8583	55454
63	8729	55376
64	8870	55270
65	9011	55163
66	9158	55087
67	9304	55003
68	9442	54875
69	9579	54739
70	9717	54609
71	9860	54504
72	9999	54379
73	10145	54293
74	10285	54168
75	10410	53968
76	10557	53885
77	10688	53717
78	10831	53606
79	10963	53448
80	11109	53352
81	11256	53260
82	11404	53175
83	11553	53090
84	11697	52983
85	11842	52876
86	11984	52757
87	12123	52626
88	12254	52461
89	12396	52339
90	12538	52222
91	12684	52115
92	12823	51982
93	12956	51827
94	13104	51727
95	13248	51614
96	13394	51505
97	13539	51395
98	13686	51291
99	13822	51142
100	13971	51043
101	14117	50931
102	14261	50814
103	14404	50693
104	14553	50589
105	14695	50462
106	14839	50341
107	14979	50209
108	15122	50084
109	15264	49956
110	15407	49832
111	15544	49685
112	15688	49564
113	15830	49434
114	15968	49294
115	16116	49181
116	16267	49081
117	16413	48961
118	16563	48854
119	16708	48731
120	16853	48610
121	16997	48484
122	17141	48359
123	17283	48226
124	17416	48069
125	17554	47925
126	17705	47818
127	17840	47667
128	17986	47545
129	18135	47432
130	18276	47296
131	18425	47179
132	18570	47054
133	18715	46927
134	18855	46789
135	18997	46654
136	19130	46499
137	19274	46370
138	19402	46203
139	19547	46077
140	19691	45947
141	19838	45824
142	19978	45685
143	20130	45572
144	20274	45443
145	20422	45320
146	20568	45193
147	20711	45061
148	20852	44923
149	21000	44801
150	21139	44658
151	21281	44523
152	21429	44399
153	21566	44253
154	21711	44122
155	21851	43982
156	21989	43838
157	22131	43702
158	22275	43571
159	22419	43436
160	22552	43283
161	22697	43152
162	22837	43013
163	22984	42885
164	23126	42748
165	23260	42597
166	23402	42460
167	23532	42301
168	23673	42164
169	23819	42034
170	23961	41897
171	24104	41763
172	24243	41620
173	24381	41477
174	24525	41342
175	24656	41187
176	24776	41013
177	24915	40873
178	25050	40724
179	25188	40581
180	25323	40434
181	25465	40296
182	25608	40161
183	25749	40023
184	25896	39895
185	26031	39747
186	26169	39603
187	26312	39468
188	26451	39327
189	26596	39195
190	26738	39058
191	26881	38922
192	27022	38782
193	27161	38641
194	27291	38488
195	27429	38345
196	27570	38206
197	27714	38072
198	27855	37933
199	27992	37789
200	28140	37660
201	28284	37526
202	28429	37392
203	28574	37258
204	28719	37124
205	28862	36989
206	29006	36854
207	29152	36720
208	29298	36587
209	29442	36453
210	29585	36315
211	29732	36184
212	29875	36046
213	30018	35909
214	30151	35760
215	30299	35629
216	30436	35486
217	30581	35350
218	30713	35201
219	30859	35067
220	31008	34937
221	31151	34799
222	31298	34666
223	31440	34528
224	31583	34390
225	31732	34260
226	31871	34118
227	32018	33984
228	32158	33844
229	32293	33697
230	32428	33551
231	32570	33412
232	32712	33273
233	32859	33140
234	32997	32997
235	33144	32863
236	33288	32727
237	33434	32591
238	33578	32454
239	33723	32318
240	33864	32178
241	34007	32039
242	34147	31899
243	34290	31760
244	34434	31623
245	34580	31488
246	34724	31350
247	34867	31212
248	34998	31063
249	35146	30929
250	35290	30791
251	35437	30656
252	35584	30521
253	35729	30383
254	35859	30234
255	36005	30098
256	36150	29961
257	36300	29828
258	36444	29689
259	36589	29553
260	36738	29418
261	36881	29279
262	37025	29141
263	37150	28988
264	37289	28846
265	37435	28709
266	37565	28560
267	37707	28420
268	37856	28287
269	37988	28139
270	38132	28001
271	38278	27864
272	38419	27724
273	38564	27586
274	38705	27445
275	38849	27306
276	38993	27168
277	39138	27030
278	39282	26891
279	39426	26753
280	39573	26616
281	39718	26478
282	39861	26339
283	40005	26200
284	40149	26061
285	40290	25920
286	40433	25781
287	40575	25641
288	40716	25500
289	40858	25360
290	40997	25218
291	41140	25078
292	41283	24939
293	41421	24796
294	41563	24656
295	41693	24509
